A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A75,VILLAGE LEADERSHIP ACADEMY 3006 EAST GOLDSTONE DRIVE MERIDIAN,B671,Treasure Valley Leadership Academy 609 15th Ave N Nampa,0.82441664
A754,SUGAR-SALEM JUNIOR HIGH SCHOOL PO BOX 180 SUGAR CITY,B630,Sugar-Salem High School 1 S Digger Dr Sugar City,0.82415164
A695,PORTNEUF VALLEY TECHNICAL AND CAREER CENTER 4200 HAWTHORNE ROAD POCATELLO,B511,Portneuf Valley Technical Education And Career Center 4200 Hawthorne Rd Chubbuck,0.82410485
A405,VIRTUAL PREPARATORY ACADEMY OF IDAHO - SECONDARY 690 JOHN ADAMS PARKWAY IDAHO FALLS,B289,Idaho Preparatory Academy 3295 W Elder St Boise,0.8237521
A451,INITIAL POINT HIGH SCHOOL 1080 NORTH TEN MILE ROAD KUNA,B335,Kuna High School 637 East Deer Flat Road Kuna,0.821684
A68,KOOTENAI BRIDGE ACADEMY 637 NORTH PARK DRIVE COEUR D'ALENE,B106,Coeur D'Alene Charter Academy 4904 N Duncan Dr Coeur D'Alene,0.82030106
A590,MINICO SENIOR HIGH SCHOOL 292 W 100 S RUPERT,B412,Minico Senior High School 300 W Highway 25 Rupert,0.81966025
A811,PROMISE ACADEMY 28317 EL PASO ROAD CALDWELL,B155,Elevate Academy Inc 114 W. Chicago St Caldwell,0.8172049
A561,GALILEO STEM ACADEMY 4735 WEST SAGUARO DRIVE EAGLE,B197,Galileo Math & Science Magnet School 4735 W. Saguaro Dr. Eagle,0.81621605
A808,GEM PREP: TWIN FALLS PO BOX 86 DEARY,B209,Gem Prep Twin Falls 151 Federation Rd Twin Falls,0.81575906
A454,SWAN FALLS HIGH SCHOOL 7300 SOUTH LINDER ROAD MERIDIAN,B606,South Hills Middle School 1550 Harrison St S Twin Falls,0.815075
A506,MARSING MIDDLE SCHOOL PO BOX 340 MARSING,B385,Marsing Primary School Highway 78 Marsing,0.8134831
A20,IDAHO VIRTUAL ACADEMY 1965 SOUTH EAGLE ROAD SUITE 160 MERIDIAN,B289,Idaho Preparatory Academy 3295 W Elder St Boise,0.8134239
A19,VICTORY CHARTER SCHOOL 9779 KRIS JENSEN LANE NAMPA,B694,Victory Middle School 920 W Kodiak Dr Meridian,0.8120351
A645,NEZPERCE SCHOOL PO BOX 279 NEZPERCE,B448,Nez Perce Elementary School 615 2nd Avenue Nezperce,0.8120199
A35,LIBERTY CHARTER SCHOOL 9955 KRIS JENSEN LANE NAMPA,B165,Endeavor Elementary School 2824 E Vicotry Road Nampa,0.81161904
A777,SNAKE RIVER JUVENILE DETENTION 2515 WRIGHT AVENUE TWIN FALLS,B1,3-B Juvenile Detention 605 N Capital Ave Idaho Falls,0.8097513
A358,FRUITLAND HIGH SCHOOL PO BOX A FRUITLAND,B194,Fruitland Middle School 800 S Pennsylvania Ave Fruitland,0.8080732
A686,LINCOLN PRESCHOOL CENTER 330 OAKWOOD DRIVE POCATELLO,B358,Lincoln Early Learning Center 300 W Fort St Boise,0.8056959
A445,HUBBARD ELEMENTARY SCHOOL 311 EAST PORTER ROAD KUNA,B335,Kuna High School 637 East Deer Flat Road Kuna,0.8056385
A513,MELBA ELEMENTARY SCHOOL PO BOX 185 MELBA,B396,Melba Jr. Sr. High School 6870 Stokes Lane Melba,0.80444163
A467,LAKELAND ONLINE ACADEMY 15506 NORTH WASHINGTON STREET RATHDRUM,B342,Lakeland Middle School 15601 North Highway 41 Rathdrum,0.804162
A514,MELBA HIGH SCHOOL PO BOX 185 MELBA,B396,Melba Jr. Sr. High School 6870 Stokes Lane Melba,0.80189
A813,IDAHO NOVUS CLASSICAL ACADEMY PO BOX 921 EAGLE,B454,North Idaho Classical Academy 6672 Riverside Street Bonners Ferry,0.801343
A131,FORT HALL ELEMENTARY SCHOOL ROUTE 6 BOX 430 POCATELLO,B201,Gate City Elementary School 2288 Hiskey St Pocatello,0.8008747
A453,KUNA CAREER TECHNICAL SCHOOL 711 EAST PORTER ROAD KUNA,B335,Kuna High School 637 East Deer Flat Road Kuna,0.80080044
